Unnamed: 0,pickup_time,region,count
6179,2016-06-01 02:00:00,1180,81.0
6180,2016-06-01 02:00:00,1181,106.0
6181,2016-06-01 02:00:00,1182,99.0
6182,2016-06-01 02:00:00,1183,20.0
6183,2016-06-01 02:00:00,1184,1.0
6220,2016-06-01 02:00:00,1221,4.0
6221,2016-06-01 02:00:00,1222,2.0
6222,2016-06-01 02:00:00,1223,7.0
6223,2016-06-01 02:00:00,1224,6.0
6224,2016-06-01 02:00:00,1225,2.0
6226,2016-06-01 02:00:00,1227,61.0
6227,2016-06-01 02:00:00,1228,163.0
6228,2016-06-01 02:00:00,1229,67.0
6229,2016-06-01 02:00:00,1230,136.0
6230,2016-06-01 02:00:00,1231,124.0
6231,2016-06-01 02:00:00,1232,216.0
6232,2016-06-01 02:00:00,1233,60.0
6233,2016-06-01 02:00:00,1234,19.0
6234,2016-06-01 02:00:00,1235,8.0
6271,2016-06-01 02:00:00,1272,2.0
6272,2016-06-01 02:00:00,1273,5.0
6273,2016-06-01 02:00:00,1274,0.0
6277,2016-06-01 02:00:00,1278,5.0
6278,2016-06-01 02:00:00,1279,1.0
6279,2016-06-01 02:00:00,1280,24.0
6280,2016-06-01 02:00:00,1281,98.0
6281,2016-06-01 02:00:00,1282,129.0
6282,2016-06-01 02:00:00,1283,8.0
6283,2016-06-01 02:00:00,1284,4.0
6284,2016-06-01 02:00:00,1285,26.0
6285,2016-06-01 02:00:00,1286,26.0
6286,2016-06-01 02:00:00,1287,13.0
6325,2016-06-01 02:00:00,1326,16.0
6326,2016-06-01 02:00:00,1327,9.0
6330,2016-06-01 02:00:00,1331,4.0
6331,2016-06-01 02:00:00,1332,41.0
6332,2016-06-01 02:00:00,1333,35.0
6333,2016-06-01 02:00:00,1334,16.0
6334,2016-06-01 02:00:00,1335,1.0
6335,2016-06-01 02:00:00,1336,5.0
6336,2016-06-01 02:00:00,1337,16.0
6337,2016-06-01 02:00:00,1338,6.0
6338,2016-06-01 02:00:00,1339,5.0
6375,2016-06-01 02:00:00,1376,13.0
6376,2016-06-01 02:00:00,1377,6.0
6377,2016-06-01 02:00:00,1378,2.0
6379,2016-06-01 02:00:00,1380,2.0
6381,2016-06-01 02:00:00,1382,7.0
6382,2016-06-01 02:00:00,1383,10.0
6383,2016-06-01 02:00:00,1384,40.0
6384,2016-06-01 02:00:00,1385,14.0
6385,2016-06-01 02:00:00,1386,6.0
6386,2016-06-01 02:00:00,1387,7.0
6387,2016-06-01 02:00:00,1388,11.0
6388,2016-06-01 02:00:00,1389,2.0
6389,2016-06-01 02:00:00,1390,8.0
6425,2016-06-01 02:00:00,1426,4.0
6430,2016-06-01 02:00:00,1431,11.0
6433,2016-06-01 02:00:00,1434,0.0
6434,2016-06-01 02:00:00,1435,5.0
6435,2016-06-01 02:00:00,1436,6.0
6436,2016-06-01 02:00:00,1437,13.0
6437,2016-06-01 02:00:00,1438,3.0
6438,2016-06-01 02:00:00,1439,2.0
6440,2016-06-01 02:00:00,1441,1.0
6441,2016-06-01 02:00:00,1442,0.0
6479,2016-06-01 02:00:00,1480,3.0
6481,2016-06-01 02:00:00,1482,8.0
6482,2016-06-01 02:00:00,1483,3.0
6529,2016-06-01 02:00:00,1530,5.0
6531,2016-06-01 02:00:00,1532,7.0
6532,2016-06-01 02:00:00,1533,11.0
6579,2016-06-01 02:00:00,1580,4.0
6629,2016-06-01 02:00:00,1630,8.0
6683,2016-06-01 02:00:00,1684,0.0
6732,2016-06-01 02:00:00,1733,1.0
6733,2016-06-01 02:00:00,1734,25.0
6782,2016-06-01 02:00:00,1783,0.0
7067,2016-06-01 02:00:00,2068,11.0
7068,2016-06-01 02:00:00,2069,0.0
7117,2016-06-01 02:00:00,2118,31.0
7118,2016-06-01 02:00:00,2119,0.0
7167,2016-06-01 02:00:00,2168,10.0
8574,2016-06-01 03:00:00,1075,2.0
8575,2016-06-01 03:00:00,1076,5.0
8576,2016-06-01 03:00:00,1077,3.0
8624,2016-06-01 03:00:00,1125,4.0
8625,2016-06-01 03:00:00,1126,16.0
8626,2016-06-01 03:00:00,1127,36.0
8627,2016-06-01 03:00:00,1128,36.0
8628,2016-06-01 03:00:00,1129,85.0
8629,2016-06-01 03:00:00,1130,241.0
8630,2016-06-01 03:00:00,1131,24.0
8631,2016-06-01 03:00:00,1132,5.0
8671,2016-06-01 03:00:00,1172,0.0
8672,2016-06-01 03:00:00,1173,0.0
8673,2016-06-01 03:00:00,1174,3.0
8674,2016-06-01 03:00:00,1175,0.0
8675,2016-06-01 03:00:00,1176,2.0
8676,2016-06-01 03:00:00,1177,91.0
8677,2016-06-01 03:00:00,1178,68.0
8678,2016-06-01 03:00:00,1179,62.0
8679,2016-06-01 03:00:00,1180,53.0
8680,2016-06-01 03:00:00,1181,43.0
8681,2016-06-01 03:00:00,1182,93.0
8682,2016-06-01 03:00:00,1183,13.0
8683,2016-06-01 03:00:00,1184,0.0
8720,2016-06-01 03:00:00,1221,1.0
8721,2016-06-01 03:00:00,1222,1.0
8722,2016-06-01 03:00:00,1223,6.0
8723,2016-06-01 03:00:00,1224,9.0
8724,2016-06-01 03:00:00,1225,0.0
8726,2016-06-01 03:00:00,1227,45.0
8727,2016-06-01 03:00:00,1228,119.0
8728,2016-06-01 03:00:00,1229,51.0
8729,2016-06-01 03:00:00,1230,80.0
8730,2016-06-01 03:00:00,1231,95.0
8731,2016-06-01 03:00:00,1232,147.0
8732,2016-06-01 03:00:00,1233,57.0
8733,2016-06-01 03:00:00,1234,22.0
8734,2016-06-01 03:00:00,1235,12.0
8771,2016-06-01 03:00:00,1272,2.0
8772,2016-06-01 03:00:00,1273,1.0
8773,2016-06-01 03:00:00,1274,2.0
8777,2016-06-01 03:00:00,1278,1.0
8778,2016-06-01 03:00:00,1279,2.0
8779,2016-06-01 03:00:00,1280,12.0
8780,2016-06-01 03:00:00,1281,77.0
8781,2016-06-01 03:00:00,1282,71.0
8782,2016-06-01 03:00:00,1283,2.0
